name,e,n,u,roll,pitch,yaw
aruco_marker_1,-97.398834228515625,68.428794860839844,3.8531584739685059,2.7093537970018531,1.5707900273389155,-3.1408861898262121
aruco_marker_2,-72.541465759277344,74.878143310546875,23.489242553710938,0.34953919022361835,1.442090029017562,0.78670018859034374
aruco_marker_3,-61.844890594482422,80.143608093261719,7.8816661834716797,-2.984069985566836,1.2723399928116839,-2.5439699729045504
aruco_marker_4,-78.855506896972656,109.81887817382812,3.8079309463500977,2.7093537970018531,1.5707900273389155,-3.1408861898262121
aruco_marker_5,-96.923896789550781,104.27999877929688,8.5504398345947266,-2.9952591423397572,1.2871588987688485,-2.5560711177416993
aruco_marker_6,-105.07278442382812,100.77210998535156,23.53996467590332,0.3378409862404616,1.4445500015518304,0.77447798584605232
aruco_marker_7,-103.56498718261719,99.733726501464844,19.807872772216797,1.4788500378994207,0.24640299389833475,3.1121099963295582
aruco_marker_8,-101.25800323486328,100,12.22029972076416,1.4610009702433753,0.61296222872900497,3.0646405630424032
aruco_marker_9,-71.1409912109375,74.0306396484375,20.173868179321289,1.5346099484236408,0.1174869930370713,3.0243400011677379
aruco_marker_0,-70.514152526855469,74.3680419921875,15.418899536132812,1.4769700259713585,0.32164600944967187,3.1065600054051101